"대륙별(1)",대륙별(2),2021. 01,2021. 01,2021. 01,2021. 02,2021. 02,2021. 02,2021. 03,2021. 03,2021. 03,2021. 04,2021. 04,2021. 04,2021. 05,2021. 05,2021. 05,2021. 06,2021. 06,2021. 06,2021. 07,2021. 07,2021. 07,2021. 08,2021. 08,2021. 08,2021. 09,2021. 09,2021. 09,2021. 10,2021. 10,2021. 10,2021. 11,2021. 11,2021. 11,2021. 12,2021. 12,2021. 12,2022. 01,2022. 01,2022. 01,2022. 02,2022. 02,2022. 02,2022. 03,2022. 03,2022. 03,2022. 04,2022. 04,2022. 04,2022. 05,2022. 05,2022. 05,2022. 06,2022. 06,2022. 06,2022. 07,2022. 07,2022. 07,2022. 08,2022. 08,2022. 08,2022. 09,2022. 09,2022. 09,2022. 10,2022. 10,2022. 10,2022. 11,2022. 11,2022. 11,2022. 12,2022. 12,2022. 12
"대륙별(1)",대륙별(2),계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자
"합계",소계,58397,16511,7009,65582,20224,14769,74604,24918,13438,70112,23842,11620,74463,24517,14207,77029,26270,15006,83005,29706,17598,97087,33144,27693,89800,32513,22075,92416,35211,18030,94358,36184,17924,90150,32854,17325,81851,28834,13328,99999,36184,28987,96768,37477,20258,127919,56183,34785,175922,82169,52188,227713,105712,80549,263986,121199,98160,310945,140007,126434,337638,154721,139322,476097,201483,224985,459906,206321,203613,539273,232896,267424
"합계",일본,1299,951,286,1719,636,1018,949,631,257,872,649,165,1403,678,675,875,611,197,881,541,244,2258,711,1471,1142,668,418,1237,868,289,1623,913,612,1007,509,350,1162,765,311,2934,788,2075,1397,725,594,2231,1418,721,3701,2215,1369,5855,3457,2273,11789,5836,5794,26482,10623,15732,27560,11564,15861,67159,22662,44325,62422,26959,35293,84175,32298,51671
"합계",미국,12013,2416,2040,11212,2170,2713,12321,2389,2313,12944,2843,2826,17278,4549,4915,18159,4856,6004,21775,6757,7041,20561,5752,6988,19227,5760,5980,21607,7057,6265,20123,7079,5648,16805,5054,4663,15570,3970,3996,15845,3966,5123,16968,4703,4475,30882,12209,11984,42490,18305,16894,55444,23548,24489,53942,23487,22866,50299,21389,21125,60435,26149,26640,73560,32605,33314,64861,29987,26931,63352,29734,26442
"합계",중국,7346,2405,1421,11982,4804,4247,18980,9127,6629,16830,8081,5172,14221,6415,4166,12942,5582,3868,13469,5831,4310,17103,6579,6990,19144,8368,7686,14035,5960,4302,12472,4904,3025,11691,4428,2428,9489,3121,1596,16752,6325,6467,14726,5433,4495,10230,3566,1594,11253,4068,2257,12741,5176,3853,17907,7320,6296,30248,11605,14658,29531,12680,13035,22940,9928,9090,24174,10841,9911,27367,11878,13898
"합계",해외동포,811,357,454,779,362,417,808,366,442,947,377,570,1011,394,617,986,368,618,1250,527,723,1198,491,707,1328,591,737,1728,751,977,1404,636,768,1042,453,589,849,385,464,916,406,510,1043,465,578,2139,953,1186,2244,1019,1225,2445,982,1463,2384,1003,1381,2319,1058,1261,3269,1391,1878,3595,1551,2044,3456,1502,1954,3334,1488,1846
"합계",기타,36928,10382,2808,39890,12252,6374,41546,12405,3797,38519,11892,2887,40550,12481,3834,44067,14853,4319,45630,16050,5280,55967,19611,11537,48959,17126,7254,53809,20575,6197,58736,22652,7871,59605,22410,9295,54781,20593,6961,63552,24699,14812,62634,26151,10116,82437,38037,19300,116234,56562,30443,151228,72549,48471,177964,83553,61823,201597,95332,73658,216843,102937,81908,308843,134737,136212,304993,137032,129524,361045,157498,173567
